date,organization,organization_id,org_type,category,requested_quantity,unit,urgency,is_event_day,day_of_week,month,is_weekend,is_simulated
2025-01-01,Hope Community Shelter,hist-rec-001,COMMUNITY_SHELTER,Cooked Meals,78.12,kg,MEDIUM,True,Wednesday,1,False,True
2025-01-01,Metro Food Bank NGO,hist-rec-002,FOOD_BANK,Fresh Produce,165.37,kg,CRITICAL,True,Wednesday,1,False,True
2025-01-01,City Bridge Women's NGO,hist-rec-003,NGO,Cooked Meals,55.11,kg,CRITICAL,True,Wednesday,1,False,True
2025-01-01,Sunrise Youth Foundation,hist-rec-004,NGO,Fresh Produce,8.63,kg,LOW,True,Wednesday,1,False,True
2025-01-01,Riverside Community Shelter,hist-rec-005,COMMUNITY_SHELTER,Cooked Meals,90.78,kg,MEDIUM,True,Wednesday,1,False,True
2025-01-02,Hope Community Shelter,hist-rec-001,COMMUNITY_SHELTER,Cooked Meals,65.31,kg,HIGH,True,Thursday,1,False,True
2025-01-02,Sunrise Youth Foundation,hist-rec-004,NGO,Fresh Produce,28.65,kg,HIGH,True,Thursday,1,False,True
2025-01-02,Riverside Community Shelter,hist-rec-005,COMMUNITY_SHELTER,Cooked Meals,50.58,kg,MEDIUM,True,Thursday,1,False,True
2025-01-03,Hope Community Shelter,hist-rec-001,COMMUNITY_SHELTER,Food Surplus,62.09,kg,HIGH,True,Friday,1,False,True
2025-01-03,Metro Food Bank NGO,hist-rec-002,FOOD_BANK,Bakery Items,19.96,kg,CRITICAL,True,Friday,1,False,True
2025-01-03,Sunrise Youth Foundation,hist-rec-004,NGO,Fresh Produce,37.88,kg,HIGH,True,Friday,1,False,True
2025-01-03,Riverside Community Shelter,hist-rec-005,COMMUNITY_SHELTER,Cooked Meals,30.54,kg,HIGH,True,Friday,1,False,True
2025-01-04,Hope Community Shelter,hist-rec-001,COMMUNITY_SHELTER,Food Surplus,74.05,kg,MEDIUM,True,Saturday,1,True,True
2025-01-04,Metro Food Bank NGO,hist-rec-002,FOOD_BANK,Fresh Produce,165.42,kg,HIGH,True,Saturday,1,True,True
2025-01-04,City Bridge Women's NGO,hist-rec-003,NGO,Cooked Meals,32.19,kg,HIGH,True,Saturday,1,True,True
2025-01-04,Sunrise Youth Foundation,hist-rec-004,NGO,Fresh Produce,29.33,kg,MEDIUM,True,Saturday,1,True,True
2025-01-04,Riverside Community Shelter,hist-rec-005,COMMUNITY_SHELTER,Food Surplus,15.37,kg,MEDIUM,True,Saturday,1,True,True
2025-01-05,Hope Community Shelter,hist-rec-001,COMMUNITY_SHELTER,Food Surplus,86.22,kg,CRITICAL,True,Sunday,1,True,True
2025-01-05,Metro Food Bank NGO,hist-rec-002,FOOD_BANK,Bakery Items,46.58,kg,MEDIUM,True,Sunday,1,True,True
2025-01-05,City Bridge Women's NGO,hist-rec-003,NGO,Bakery Items,8.58,kg,HIGH,True,Sunday,1,True,True
2025-01-05,Sunrise Youth Foundation,hist-rec-004,NGO,Fresh Produce,39.67,kg,MEDIUM,True,Sunday,1,True,True
2025-01-05,Riverside Community Shelter,hist-rec-005,COMMUNITY_SHELTER,Food Surplus,101.97,kg,HIGH,True,Sunday,1,True,True
2025-01-06,Riverside Community Shelter,hist-rec-005,COMMUNITY_SHELTER,Food Surplus,85.13,kg,HIGH,True,Monday,1,False,True
2025-01-07,Metro Food Bank NGO,hist-rec-002,FOOD_BANK,Food Surplus,89.18,kg,MEDIUM,True,Tuesday,1,False,True
2025-01-08,Hope Community Shelter,hist-rec-001,COMMUNITY_SHELTER,Cooked Meals,26.18,kg,CRITICAL,False,Wednesday,1,False,True
2025-01-08,City Bridge Women's NGO,hist-rec-003,NGO,Bakery Items,6.48,kg,CRITICAL,False,Wednesday,1,False,True
2025-01-08,Sunrise Youth Foundation,hist-rec-004,NGO,Cooked Meals,12.22,kg,LOW,False,Wednesday,1,False,True
2025-01-09,Hope Community Shelter,hist-rec-001,COMMUNITY_SHELTER,Cooked Meals,28.63,kg,MEDIUM,False,Thursday,1,False,True
2025-01-09,Metro Food Bank NGO,hist-rec-002,FOOD_BANK,Food Surplus,55.93,kg,MEDIUM,False,Thursday,1,False,True
2025-01-09,City Bridge Women's NGO,hist-rec-003,NGO,Cooked Meals,28.42,kg,MEDIUM,False,Thursday,1,False,True
2025-01-09,Sunrise Youth Foundation,hist-rec-004,NGO,Fresh Produce,61.17,kg,MEDIUM,False,Thursday,1,False,True
2025-01-09,Riverside Community Shelter,hist-rec-005,COMMUNITY_SHELTER,Food Surplus,99.57,kg,HIGH,False,Thursday,1,False,True
2025-01-10,Hope Community Shelter,hist-rec-001,COMMUNITY_SHELTER,Food Surplus,102.6,kg,MEDIUM,False,Friday,1,False,True
2025-01-10,Metro Food Bank NGO,hist-rec-002,FOOD_BANK,Food Surplus,93.02,kg,MEDIUM,False,Friday,1,False,True
2025-01-10,Sunrise Youth Foundation,hist-rec-004,NGO,Fresh Produce,37.97,kg,MEDIUM,False,Friday,1,False,True
2025-01-10,Riverside Community Shelter,hist-rec-005,COMMUNITY_SHELTER,Food Surplus,51.56,kg,HIGH,False,Friday,1,False,True
2025-01-11,Metro Food Bank NGO,hist-rec-002,FOOD_BANK,Fresh Produce,58.69,kg,HIGH,False,Saturday,1,True,True
2025-01-11,City Bridge Women's NGO,hist-rec-003,NGO,Cooked Meals,14.22,kg,LOW,False,Saturday,1,True,True
2025-01-11,Sunrise Youth Foundation,hist-rec-004,NGO,Cooked Meals,33.16,kg,LOW,False,Saturday,1,True,True
2025-01-11,Riverside Community Shelter,hist-rec-005,COMMUNITY_SHELTER,Food Surplus,92.86,kg,MEDIUM,False,Saturday,1,True,True
2025-01-12,Hope Community Shelter,hist-rec-001,COMMUNITY_SHELTER,Cooked Meals,108.24,kg,CRITICAL,False,Sunday,1,True,True
